,hidden,loo_auc
0,4,0.6936274509803921
1,8,0.7116013071895425
2,16,0.7694716775599129
3,4-4,0.5917755991285404
4,8-8,0.7393790849673203
5,16-16,0.7253540305010894
6,4-4-4,0.6938997821350763
7,4-8-16,0.6122004357298475
8,16-8-4,0.7004357298474946
